place,title,time,pay,date
전남 무안군, 7번가피자남악신도시점,11:30~15:00,"시급8,720",12분전
서울 성동구, 7번가피자한양대점,11:00~11:00,"시급10,500",29분전
광주 광산구, 7번가피자 하남점,11:00~23:00,"시급8,720",1시간전
경남 김해시, 7번가피자 김해어방점,11:00~24:00,"일급150,000",1시간전
충북 청주시, 7번가피자  용암점,12:00~23:00,"시급9,000",1시간전
대전 서구, 7번가피자 관저점,시간협의,"시급10,000",2시간전
세종 전체, 7번가피자 세종(청사)점,11:00~23:30,"월급2,500,000",2시간전
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,500",3시간전
대전 유성구, 7번가피자 노은점,11:00~23:30,"월급2,500,000",3시간전
세종 전체, 7번가피자 세종(청사)점,11:00~23:30,"시급11,000",3시간전
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,500",3시간전
대전 서구, 7번가피자 관저점,시간협의,"시급10,000",4시간전
세종 전체, 7번가피자 세종(청사)점,11:00~23:30,"시급11,000",5시간전
대전 서구, 7번가피자 관저점,시간협의,"시급10,000",6시간전
서울 성동구, 7번가피자한양대점,11:00~11:00,"시급10,500",6시간전
충북 청주시, 7번가피자  용암점,12:00~23:00,"시급9,000",7시간전
서울 강동구, 7번가피자 성내점,17:00~22:00,"시급10,500",7시간전
서울 송파구, 7번가피자 잠실새내점,17:00~22:30,"시급12,000",7시간전
광주 동구, 7번가피자 학동점,17:00~23:00,"시급8,720",7시간전
경기 부천시, 7번가피자 범박점,11:00~23:00,"시급10,500",8시간전
대구 서구, 7번가피자 서구점,06:00~11:00,"시급8,720",01/31
강원 원주시, 7번가피자 기업도시점,11:00~23:00,"월급2,000,000",01/31
경기 김포시, 7번가피자 김포사우점,12:00~17:00,"시급8,720",01/31
서울 송파구, 7번가피자 잠실새내점,17:00~22:30,"시급12,000",01/31
경기 시흥시, 7번가피자 은행점,03:00~09:00,"월급1,180,000",01/31
광주 북구, 7번가피자 운암점,11:00~17:00,"시급8,720",01/30
충북 청주시, 7번가피자  용암점,12:00~23:00,"시급9,000",01/30
경기 부천시, 7번가피자 범박점,11:00~23:00,"시급10,500",01/30
세종 전체, 7번가피자 세종(청사)점,11:00~23:30,"시급11,000",01/29
경기 부천시, 7번가피자 범박점,11:00~23:00,"시급10,500",01/29
경기 부천시, 7번가피자 범박점,11:00~23:00,"시급10,500",01/28
충북 청주시, 7번가피자  용암점,12:00~23:00,"시급9,000",01/27
인천 서구, 7번가피자검단점,18:00~21:00,"시급10,500",01/26
서울 전체, 7번가피자방배사당점,시간협의,"시급10,500",01/24
서울 전체, 7번가피자방배사당점,11:00~22:30,"월급2,500,000",01/24
전남 무안군, 7번가피자남악신도시점,17:00~22:30,"시급8,720",01/22
대구 북구, 7번가피자 다사점,11:00~23:00,"시급8,720",01/20
경남 창원시, 7번가피자 석동점,17:00~23:00,"시급9,000",01/17
서울 강서구, 7번가피자(화곡목동점),00:00~24:00,"연봉40,000,000",01/16
서울 강서구, 7번가피자(화곡목동점),00:00~24:00,"연봉40,000,000",01/16
서울 강서구, 7번가피자(화곡목동점),시간협의,"연봉40,000,000",01/16
