place,title,time,pay,date
대구 중구, 랄라블라,17:00~19:00,"시급8,720",37분전
경기 부천시, (주)지에스리테일 랄라블라 부천역점,16:30~21:00,"시급8,720",1시간전
경남 진주시, (주)지에스리테일,시간협의,"시급8,720",3시간전
광주 동구, (주)지에스리테일,17:30~22:00,"시급8,720",3시간전
광주 동구, (주)지에스리테일,13:00~17:30,"시급8,720",3시간전
서울 관악구, (주)지에스리테일 랄라블라 관악점,19:00~22:00,"시급8,720",4시간전
전북 전체, (주)지에스리테일,15:00~19:30,"시급8,720",4시간전
전북 전주시, (주)지에스리테일,17:00~20:30,"시급8,720",01/31
인천 전체, (주)지에스리테일 랄라블라 인하대점,11:00~14:30,"시급8,720",01/31
서울 관악구, (주)지에스리테일,12:00~15:00,"시급8,720",01/28
서울 용산구, (주)지에스리테일 랄라블라 숙대2호점,10:00~13:30,"시급8,720",01/22
