place,title,time,pay,date
충북 충주시, 대한곱창 충주점,  :  ~  :  ,"시급8,720",1시간전
충북 충주시, 대한곱창 충주점,  :  ~  :  ,"시급8,720",1시간전
충북 충주시, 대한곱창 충주점,  :  ~  :  ,"시급8,720",1시간전
충북 충주시, 대한곱창 충주점,시간협의,"시급8,720",1시간전
부산 중구, 대한곱창 부산남포점,시간협의,"시급9,000",3시간전
경기 김포시, 대한곱창 걸포북변역점,04:00~22:00,"시급10,000",3시간전
경기 성남시, 대한곱창 위례점,18:00~21:00,"시급8,720",6시간전
서울 전체, 대한곱창 선릉점,18:00~06:00,"월급2,800,000",8시간전
전북 익산시, 대한곱창 익산모현점,  :  ~  :  ,"시급9,000",01/31
전북 익산시, 대한곱창 익산모현점,  :  ~  :  ,"시급9,000",01/31
전북 익산시, 대한곱창 익산모현점,  :  ~  :  ,"시급9,000",01/31
서울 강남구, 대한곱창 선릉점,18:00~06:00,"월급2,800,000",01/31
인천 전체, 대한곱창 간석오거리점,  :  ~  :  ,"시급9,000",01/31
인천 전체, 대한곱창 간석오거리점,  :  ~  :  ,"시급9,000",01/31
인천 전체, 대한곱창 간석오거리점,  :  ~  :  ,"시급9,000",01/31
인천 전체, 대한곱창 간석오거리점,시간협의,"시급9,000",01/30
전북 익산시, 대한곱창 익산모현점,시간협의,"시급9,000",01/28
전북 전체, 대한곱창 전주신시가지점,16:00~24:00,"시급8,720",01/25
전북 전체, 대한곱창 전주신시가지점,16:00~24:00,"시급8,720",01/25
전북 전체, 대한곱창 전주신시가지점,16:00~24:00,"시급8,720",01/25
전북 전체, 대한곱창 전주신시가지점,16:00~24:00,"시급8,720",01/25
전북 전체, 대한곱창 전주신시가지점,16:00~24:00,"시급8,720",01/25
충북 청주시, 대한곱창 청주율량점,16:00~22:00,"시급9,000",01/25
충북 청주시, 대한곱창 청주율량점,16:00~22:00,"시급9,000",01/25
충북 청주시, 대한곱창 청주율량점,16:00~22:00,"시급9,000",01/25
충북 청주시, 대한곱창 청주율량점,16:00~22:00,"시급9,000",01/24
세종 나성동, 대한곱창 세종나성점,18:00~22:00,"시급9,500",01/22
세종 다정동, 대한곱창 세종나성점,18:00~22:00,"시급9,500",01/22
세종 나성동, 대한곱창 세종나성점,18:00~22:00,"시급9,500",01/22
세종 나성동, 대한곱창 세종나성점,18:00~22:00,"시급9,500",01/22
대전 중구, 대한곱창 대전대흥점,시간협의,"시급8,720",01/19
대전 중구, 대한곱창 대전대흥점,18:00~22:00,"시급8,720",01/19
대전 중구, 대한곱창 대전대흥점,18:00~22:00,"시급8,720",01/19
대전 중구, 대한곱창 대전대흥점,18:00~22:00,"시급8,720",01/19
대전 중구, 대한곱창 대전대흥점,18:00~22:00,"시급8,720",01/18
경기 김포시, 대한곱창 걸포북변역점,14:00~01:00,"건별2,200,000",01/17
경기 김포시, 대한곱창 걸포북변역점,14:00~01:00,"시급8,720",01/17
