place,title,time,pay,date
서울 광진구, 롭스 건대로데오점,16:00~19:30,"시급8,720",38분전
부산 사하구, 롭스 뉴코아아울렛괴정점,15:30~21:00,"시급8,720",1시간전
대전 중구, 롭스 대전은행동점,12:00~18:30,"시급8,720",2시간전
대전 중구, 롭스 대전은행동점,16:00~22:30,"시급8,720",2시간전
대전 중구, 롭스 대전은행동점,12:00~18:30,"시급8,720",2시간전
서울 강남구, 롭스 한티역점,14:00~17:00,"시급10,464",2시간전
서울 강남구, 롭스 한티역점,14:00~17:00,"시급10,464",2시간전
서울 강남구, 롭스 한티역점,14:00~17:00,"시급10,464",2시간전
서울 송파구, 롭스 잠실점,16:30~21:00,"시급8,720",2시간전
서울 송파구, 롭스 잠실점,10:30~16:00,"시급8,720",2시간전
대전 동구, 롭스 대전역사점,17:30~23:00,"시급8,720",2시간전
경남 진주시, 롭스 진주점,15:30~20:00,"시급8,720",2시간전
경기 광명시, 롭스 광명아울렛점,12:00~16:30,"시급8,720",3시간전
서울 송파구, 롭스 월드몰1호점,17:30~21:00,"시급8,720",9시간전
경기 양평군, 롭스 경기롯데마트양평점,10:00~13:00,"시급8,720",01/31
충남 천안시, 롯데쇼핑㈜ H&B사업본부 (롭스) 천,17:00~22:00,"시급8,720",01/31
서울 중구, 롭스 을지로입구역사점,18:00~21:30,"시급8,720",01/30
경기 광명시, 롭스 광명아울렛점,13:30~19:00,"시급8,720",01/30
광주 북구, 롭스 전남대점,15:30~22:00,"시급8,720",01/29
서울 서초구, 롭스 강남엔터점,15:30~20:30,"시급8,720",01/28
