place,title,time,pay,date
서울 서초구, 매드포갈릭 사당점,12:00~21:00,"시급10,470",38분전
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",2시간전
울산 남구, 매드포갈릭 울산현대백화점,12:00~21:00,"시급8,720",3시간전
경기 안양시, 매드포갈릭 안양범계점,10:00~01:00,"시급10,470",3시간전
서울 서초구, 매드포갈릭 예술의 전당점,11:30~20:30,"시급10,470",3시간전
경기 안양시, 매드포갈릭 안양범계점,10:00~01:00,"시급10,470",4시간전
경기 의정부, (주)MFG 코리아 매드포갈릭 의정부,시간협의,"시급10,470",4시간전
경기 안양시, 매드포갈릭 안양범계점,10:00~01:00,"시급10,470",5시간전
인천 연수구, 매드포갈릭 송도점,13:00~21:00,"시급8,720",5시간전
인천 연수구, 매드포갈릭 송도점,13:00~21:00,"시급8,720",5시간전
서울 서초구, 매드포갈릭 사당점,12:00~21:00,"시급10,470",5시간전
경기 수원시, 매드포갈릭 수원인계점,12:00~21:00,"시급10,470",5시간전
대전 서구, 매드포갈릭 대전둔산점,10:30~14:00,"시급10,470",6시간전
서울 서초구, 매드포갈릭 삼성타운점,17:30~20:30,"시급10,470",6시간전
울산 전체, 매드포갈릭 울산현대백화점,12:00~21:00,"시급8,720",7시간전
서울 서초구, 매드포갈릭 삼성타운점,17:30~20:30,"시급10,470",7시간전
경기 의정부, 매드포갈릭 의정부점,12:00~21:00,"시급10,470",8시간전
경기 수원시, 매드포갈릭 수원롯데점,시간협의,"시급10,470",01/31
서울 광진구, 매드포갈릭 건대스타시티점,13:00~22:00,"시급10,470",01/30
경기 부천시, 매드포갈릭 부천중동현대점,18:00~21:00,"시급10,470",01/29
인천 연수구, 매드포갈릭 송도점,13:00~21:00,"시급8,720",01/29
경기 안성시, 매드포갈릭 안성스타필드점,08:00~23:00,"시급10,470",01/28
