place,title,time,pay,date
부산 전체, 이자녹스/비욘드/네이처컬렉션 이마트,10:00~23:00,"시급8,720",3시간전
부산 전체, 이자녹스/비욘드/네이처컬렉션 이마트,10:00~23:00,"시급8,720",3시간전
인천 미추홀, 이자녹스/비욘드/네이처컬렉션 NC 인,10:00~10:00,"월급1,830,000",3시간전
인천 전체, 이자녹스/비욘드/네이처컬렉션 NC 인,10:00~22:30,"월급1,830,000",3시간전
광주 남구, 이자녹스/비욘드/네이처컬렉션 NC 광,15:00~21:00,"시급8,720",4시간전
경기 평택시, 이자녹스/비욘드/네이처컬렉션 평택안중,11:30~06:30,"시급9,000",8시간전
서울 도봉구, 이자녹스/비욘드/네이처컬렉션 NC 신,10:00~16:00,"시급8,720",9시간전
서울 도봉구, 이자녹스/비욘드/네이처컬렉션 NC 신,10:00~13:00,"시급8,720",9시간전
인천 전체, 이자녹스/비욘드/네이처컬렉션 NC 인,10:00~22:30,"월급1,830,000",01/29
인천 전체, 이자녹스/비욘드/네이처컬렉션 NC 인,10:00~22:30,"월급1,830,000",01/22
경기 평택시, 이자녹스/비욘드/네이처컬렉션 NC 평,18:30~21:30,"시급8,720",01/18
