place,title,time,pay,date
서울 구로구, 일미리금계찜닭 구로동점,11:00~15:00,"시급9,000",3시간전
서울 구로구, 일미리금계찜닭 구로동점,11:00~15:00,"시급9,000",3시간전
서울 구로구, 일미리금계찜닭 구로동점,11:00~15:00,"시급9,000",3시간전
서울 구로구, 일미리금계찜닭 구로동점,11:00~15:00,"시급9,000",3시간전
서울 구로구, 일미리금계찜닭 구로동점,11:00~15:00,"시급9,000",3시간전
서울 동작구, 일미리금계찜닭 신대방삼거리역점,  :  ~  :  ,"시급8,720",3시간전
서울 동작구, 일미리금계찜닭 신대방삼거리역점,  :  ~  :  ,"시급8,720",3시간전
서울 동작구, 일미리금계찜닭 신대방삼거리역점,  :  ~  :  ,"시급8,720",3시간전
서울 동작구, 일미리금계찜닭 신대방삼거리역점,  :  ~  :  ,"시급8,720",3시간전
서울 동작구, 일미리금계찜닭 신대방삼거리역점,시간협의,"시급8,720",3시간전
서울 강남구, 일미리금계찜닭 서울선릉점,10:00~20:30,"월급2,200,000",01/19
서울 강남구, 일미리금계찜닭 서울선릉점,10:00~20:30,"월급2,200,000",01/19
서울 강남구, 일미리금계찜닭 서울선릉점,10:00~20:30,"월급2,200,000",01/19
서울 강남구, 일미리금계찜닭 서울선릉점,10:00~20:30,"월급2,200,000",01/19
서울 강남구, 일미리금계찜닭 서울선릉점,10:00~20:30,"월급2,200,000",01/19
