place,title,time,pay,date
대구 수성구, 커피스미스 대구수성레이크점,24:00~08:00,"시급8,720",2시간전
서울 용산구, 커피스미스 이태원점,시간협의,"월급1,880,000",23시간전
서울 전체, 커피스미스 강동첨단단지점,  :  ~  :  ,"월급1,880,000",01/31
서울 전체, 커피스미스 강동첨단단지점,  :  ~  :  ,"월급1,880,000",01/31
서울 전체, 커피스미스 강동첨단단지점,  :  ~  :  ,"월급1,880,000",01/31
서울 전체, 커피스미스 강동첨단단지점,시간협의,"월급1,880,000",01/28
서울 용산구, 커피스미스 이태원점,시간협의,"월급1,880,000",01/25
서울 용산구, 커피스미스 이태원점,  :  ~  :  ,"월급1,852,000",01/25
서울 용산구, 커피스미스 이태원점,  :  ~  :  ,"월급1,852,000",01/25
서울 용산구, 커피스미스 이태원점,시간협의,"월급1,852,000",01/25
서울 서대문, 커피스미스 신촌연대점,  :  ~  :  ,"월급1,800,000",01/23
서울 서대문, 커피스미스 신촌연대점,  :  ~  :  ,"월급1,800,000",01/23
서울 서대문, 커피스미스 신촌연대점,  :  ~  :  ,"월급1,800,000",01/23
서울 서대문, 커피스미스 신촌연대점,  :  ~  :  ,"월급1,800,000",01/23
서울 서대문, 커피스미스 신촌연대점,시간협의,"월급1,800,000",01/23
경기 시흥시, 커피스미스 배곧신도시점,08:00~18:00,"월급2,300,000",01/23
경기 시흥시, 커피스미스 배곧신도시점,08:00~18:00,"월급2,300,000",01/23
경기 시흥시, 커피스미스 배곧신도시점,08:00~18:00,"월급2,300,000",01/23
경기 시흥시, 커피스미스 배곧신도시점,08:00~18:00,"월급2,300,000",01/23
경기 시흥시, 커피스미스 배곧신도시점,08:00~18:00,"월급2,300,000",01/23
대구 동구, 커피스미스 대구혁신점,11:00~17:00,"시급8,720",01/23
대구 동구, 커피스미스 대구혁신점,11:00~17:00,"시급8,720",01/23
대구 동구, 커피스미스 대구혁신점,11:00~17:00,"시급8,720",01/23
대구 동구, 커피스미스 대구혁신점,11:00~17:00,"시급8,720",01/23
대구 동구, 커피스미스 대구혁신점,11:00~17:00,"시급8,720",01/23
서울 강남구, 커피스미스 신논현점,20:00~08:00,"월급2,500,000",01/17
서울 강남구, 커피스미스 신논현점,20:00~08:00,"월급2,500,000",01/17
서울 강남구, 커피스미스 신논현점,20:00~08:00,"월급2,500,000",01/17
서울 강남구, 커피스미스 신논현점,20:00~08:00,"월급2,500,000",01/17
서울 강남구, 커피스미스 신논현점,20:00~08:00,"월급2,500,000",01/17
