place,title,time,pay,date
세종 전체, 주식회사 케이컴퍼니,11:00~21:00,"월급2,500,000",1시간전
부산 기장군, 주식회사 케이컴퍼니,10:00~20:30,"월급1,900,000",2시간전
부산 해운대, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",2시간전
경기 안산시, 주식회사 케이컴퍼니,12:00~07:00,"시급8,720",2시간전
세종 새롬동, 주식회사 케이컴퍼니,11:00~21:00,"월급2,500,000",2시간전
부산 기장군, 주식회사 케이컴퍼니,10:00~20:30,"월급1,900,000",2시간전
부산 해운대, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",2시간전
경기 안산시, 주식회사 케이컴퍼니,12:00~07:00,"시급8,720",01/31
대구 달서구, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",01/23
대구 달서구, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",01/23
