place,title,time,pay,date
경기 화성시, 한경기획 청년다방 화성병점점,10:00~16:00,"시급8,900",4분전
강원 강릉시, 한경기획 청년다방 강릉금학점,11:00~22:30,"월급2,500,000",1시간전
부산 부산진, 한경기획 은화수식당 전포본점(직),11:00~22:00,"시급8,720",2시간전
인천 부평구, 한경기획 청년다방 인천삼산점,10:00~22:00,"월급2,100,000",2시간전
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"시급10,000",5시간전
경기 성남시, 한경기획 청년다방 서현로데오점,10:00~22:00,"월급3,000,000",5시간전
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"시급10,000",7시간전
경북 경주시, 한경기획 은화수식당 경주황성점,10:30~15:30,"시급8,720",8시간전
경기 안양시, 한경기획 청년다방 안양예술공원점,16:00~20:00,"시급8,720",01/31
서울 노원구, 한경기획 청년다방 노원역점,12:00~23:00,"월급2,200,000",01/31
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"시급10,000",01/31
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"시급10,000",01/31
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"시급10,000",01/29
전북 전주시, 한경기획 청년다방 전주송천점,18:00~22:00,"시급8,720",01/22
경기 성남시, 한경기획 청년다방 서현로데오점,10:00~22:00,"월급3,000,000",01/21
경기 성남시, 한경기획 청년다방 서현로데오점,16:00~21:30,"시급8,720",01/21
경기 평택시, 한경기획 청년다방 평택이충점,시간협의,"시급9,000",01/21
경기 성남시, 한경기획 청년다방 판교테크노밸리점,10:00~22:00,"월급3,000,000",01/19
강원 강릉시, 한경기획 청년다방 강릉금학점,11:00~22:30,"월급2,500,000",01/18
