place,title,time,pay,date
경기 용인시, 호식이두마리치킨 수지1호점,18:00~10:00,"시급8,720",6분전
대구 수성구, 호식이두마리치킨 대구중동점,18:00~22:00,"시급9,000",39분전
대구 수성구, 호식이두마리치킨 대구중동점,18:00~22:00,"시급9,000",42분전
경기 남양주, 호식이두마리치킨 평내점,17:00~24:00,"시급9,000",3시간전
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급10,500",4시간전
경기 성남시, 호식이두마리치킨 정자점(분당),12:00~24:00,"월급2,000,000",4시간전
전남 순천시, 호식이두마리치킨 조례점,18:00~21:00,"시급10,000",6시간전
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",8시간전
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",8시간전
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",8시간전
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",8시간전
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",8시간전
경기 포천시, 호식이두마리치킨 포천이동점,17:00~22:00,"시급10,000",01/31
부산 사하구, 호식이두마리치킨 괴정점,17:00~22:00,"시급10,000",01/30
부산 사하구, 호식이두마리치킨 괴정점,17:00~22:00,"시급9,500",01/30
인천 서구, 호식이두마리치킨 인천연희점,18:00~23:00,"시급8,720",01/28
서울 영등포, 호식이두마리치킨 신길1호점,18:00~03:00,"주급1,800,000",01/27
경북 경주시, 호식이두마리치킨 경주황성점,17:00~22:00,"시급9,000",01/26
인천 부평구, 호식이두마리치킨 삼산1호점,17:00~22:00,"시급8,720",01/26
세종 보람동, 호식이두마리치킨 보람점,17:30~21:30,"시급11,000",01/26
경기 남양주, 호식이두마리치킨 진접금곡점,18:00~22:00,"시급8,720",01/22
서울 영등포, 호식이두마리치킨 신길1호점,18:00~03:00,"시급8,720",01/22
서울 영등포, 호식이두마리치킨 신길1호점,18:00~03:00,"시급8,720",01/22
서울 영등포, 호식이두마리치킨 신길1호점,18:00~03:00,"주급1,800,000",01/22
서울 영등포, 호식이두마리치킨 신길1호점,18:00~03:00,"주급1,800,000",01/22
인천 서구, 호식이두마리치킨 석남점,18:00~11:00,"시급8,720",01/20
경기 용인시, 호식이두마리치킨 수지1호점,시간협의,"월급2,700,000",01/20
경기 고양시, 호식이두마리치킨 덕이점,17:00~24:00,"건별4,000",01/18
대구 수성구, 호식이두마리치킨 시지1호점,17:00~22:00,"시급9,000",01/18
서울 관악구, 호식이두마리치킨 신림점,16:00~04:00,"월급3,200,000",01/17
서울 관악구, 호식이두마리치킨 신림점,18:00~04:00,"월급2,500,000",01/17
충남 아산시, 호식이두마리치킨 배방점,15:00~24:00,"시급8,720",01/16
충남 아산시, 호식이두마리치킨 배방점,15:00~24:00,"시급8,720",01/16
충남 아산시, 호식이두마리치킨 배방점,15:00~24:00,"시급8,720",01/16
충남 아산시, 호식이두마리치킨 배방점,15:00~24:00,"시급8,720",01/16
충남 아산시, 호식이두마리치킨 배방점,15:00~24:00,"시급8,720",01/16
경기 의정부, 호식이두마리치킨 녹양점,시간협의,건별300,01/16
